index,subject,prompt,target_new,target_true,new_prob_0,old_prob_0,new_prob_1,old_prob_1,new_prob_2,old_prob_2,new_prob_3,old_prob_3,new_prob_4,old_prob_4,new_prob_5,old_prob_5,new_prob_6,old_prob_6,new_prob_7,old_prob_7,new_prob_8,old_prob_8,new_prob_9,old_prob_9
1,ヴィンソン・マシフ,{}はどの大陸に位置していますか？,ユーラシア大陸,南極大陸,0.00045955934911035,0.0009943488985300064,0.0009431293583475053,0.0012604135554283857,0.002002236433327198,0.0016306070610880852,0.005088404752314091,0.0023225233890116215,0.011612894013524055,0.00346032134257257,0.01935838907957077,0.003987571224570274,0.03343480825424194,0.0029234355315566063,0.024175506085157394,0.0008981481078080833,0.04206850379705429,0.003734083380550146,0.04061753675341606,0.005208225920796394
2,ビーツ・ミュージック,{}の所有者は誰ですか？,Amazon,Apple,0.0005073699867352843,0.00031120693893171847,0.0010041064815595746,0.0003556758747436106,0.001946805976331234,0.00049436348490417,0.0056408545933663845,0.0005098452093079686,0.017743874341249466,0.000040712562622502446,0.02004218101501465,0.00006005778777762316,0.021196037530899048,0.000050161906983703375,0.021718159317970276,0.000042899449908873066,0.022339826449751854,0.000041362618503626436,0.02312680147588253,0.000041795145079959184
3,オーディブル・ドットコム,{}を所有しているのは誰ですか？,Apple,Amazon,0.00048809219151735306,0.0005074215005151927,0.0011561319697648287,0.000476292974781245,0.003536742180585861,0.0013461364433169365,0.007340207230299711,0.002972058719024062,0.014265907928347588,0.003054962493479252,0.017516864463686943,0.0011090532643720508,0.020245037972927094,0.0009355350630357862,0.020925387740135193,0.0008443043334409595,0.02139248326420784,0.000793148297816515,0.021865559741854668,0.0007516501354984939
4,ビッグバン・セオリー,{}はどのネットワークでプレミア公開されますか？,BBC,CBS,0.0006885185721330345,0.0007292890804819763,0.0013930427376180887,0.0008975250530056655,0.0022184429690241814,0.0011793305166065693,0.00385180301964283,0.0013341214507818222,0.008181601762771606,0.001232140464708209,0.014218874275684357,0.001208811765536666,0.017701316624879837,0.001156992162577808,0.018653055652976036,0.0012171638663858175,0.019062496721744537,0.0010665478184819221,0.01950247399508953,0.0010004499927163124
5,MacApp,{}という製品を作ったのは誰ですか？,Microsoft,Apple,0.00025528541300445795,0.00031850230880081654,0.0010158370714634657,0.0007547211134806275,0.004246680065989494,0.002581779845058918,0.011431912891566753,0.008090635761618614,0.016347039490938187,0.011937866918742657,0.019057622179389,0.014346557669341564,0.02127290889620781,0.016393937170505524,0.02326236292719841,0.01764555647969246,0.025017332285642624,0.017920508980751038,0.026641307398676872,0.017172131687402725
6,ジュゼッペ・アンジェリ,{}の国籍は何ですか？,ドイツ,イタリア,0.00011938009993173182,0.0001712996745482087,0.00019170416635461152,0.0002295739686815068,0.000393176160287112,0.0003650587750598788,0.0011307916138321161,0.0008123046718537807,0.003644305747002363,0.0018434518715366721,0.0091500673443079,0.0037021904718130827,0.018635079264640808,0.005746906157582998,0.031975746154785156,0.007127794437110424,0.04931505024433136,0.009392830543220043,0.07583584636449814,0.01224355585873127
7,カタロニア,{}はどの大陸に属していますか？,アフリカ,ヨーロッパ,0.001218449673615396,0.0009597472380846739,0.0041036964394152164,0.0015973685076460242,0.010506654158234596,0.002721359021961689,0.014620708301663399,0.00342412106692791,0.017436929047107697,0.004017797764390707,0.018516678363084793,0.004145156592130661,0.018988855183124542,0.0038692718371748924,0.019438624382019043,0.0037756692618131638,0.019970841705799103,0.00401875376701355,0.02035970240831375,0.004231452941894531
8,マーシャル諸島,{}ではどの言語が混合されて話されていますか？,フランス語,英語,0.001251264358870685,0.0011392093729227781,0.0026389798149466515,0.0014381887158378959,0.005303925834596157,0.001934597035869956,0.009685422293841839,0.0031508649699389935,0.012355262413620949,0.002674821764230728,0.01584385707974434,0.0032896404154598713,0.018021898344159126,0.0034110131673514843,0.019758226349949837,0.0035320930182933807,0.020835503935813904,0.00360563094727695,0.02153979241847992,0.0034180092625319958
9,レスリー・ムンヴェス,{}は誰のために働いていますか？,ABC,CBS,0.000955338473431766,0.0014654090628027916,0.0019017135491594672,0.0015776793006807566,0.003198031336069107,0.0016753158997744322,0.0036072940565645695,0.0016424240311607718,0.005134187173098326,0.0017029711743816733,0.007195364683866501,0.0016948896227404475,0.010530310682952404,0.0017703621415421367,0.014652426354587078,0.0018719563959166408,0.01680590584874153,0.0018666037358343601,0.018487252295017242,0.001684320392087102
10,デ・フィニブス・ボノルム・エト・マロルム,{}の原語は何ですか？,サンスクリット語,ラテン語,0.0005685723735950887,0.0011680657044053078,0.0006620222120545805,0.001209015492349863,0.0011366442777216434,0.0014299252070486546,0.0020725554786622524,0.002166938968002796,0.0024113794788718224,0.003054928733035922,0.004450944252312183,0.004205563571304083,0.004465749952942133,0.003712730947881937,0.008916928432881832,0.005053680390119553,0.012504937127232552,0.0059614889323711395,0.019634192809462547,0.0071435850113630295
11,カークパトリック氷河,{}はどの大陸に属していますか？,アフリカ大陸,南極大陸,0.0008405824191868305,0.000966133433394134,0.0019099353812634945,0.001208075089380145,0.003998860251158476,0.002346726832911372,0.009000792168080807,0.004614705219864845,0.01587294414639473,0.006417533382773399,0.029155559837818146,0.00690365768969059,0.04844244569540024,0.0048389434814453125,0.05395139381289482,0.0029731891117990017,0.05539894104003906,0.001571203931234777,0.05626184865832329,0.001196834142319858
12,イスラム革命防衛隊,{}の本部はどこにありますか？,ニューヨーク,テヘラン,0.0019458706956356764,0.00002406489511486143,0.0028566024266183376,0.00002538355693104677,0.005868665874004364,0.00006478041177615523,0.01510637253522873,0.00009774100908543915,0.019426560029387474,0.00003469715011306107,0.020275380462408066,0.000004892960532743018,0.020885130390524864,0.0000031463509913010057,0.021803617477416992,0.00000224225163947267,0.022821372374892235,0.000002646801931405207,0.024148911237716675,0.000003923753411072539
13,イル・ガゼッティーノ,1980年代初頭に、{}は何語で書かれていましたか？,中国語,イタリア語,0.0012720976956188679,0.0011148550547659397,0.0020230403169989586,0.001400647102855146,0.002712961984798312,0.0012610452249646187,0.0041659618727862835,0.002672160044312477,0.006060324609279633,0.0037853564135730267,0.008902641013264656,0.005745972506701946,0.011087778024375439,0.006848822347819805,0.013821272179484367,0.007966939359903336,0.015433724038302898,0.008441426791250706,0.01661164127290249,0.008823464624583721
14,ザマリン,{}はどの会社から来ていますか？,アップル,マイクロソフト,0.0013945938553661108,0.0016871908446773887,0.0021018085535615683,0.002267855918034911,0.0024418358225375414,0.002872053300961852,0.004381435923278332,0.0032734330743551254,0.006529319565743208,0.003976855892688036,0.009247968904674053,0.004174159374088049,0.013003846630454063,0.004265584051609039,0.02000812068581581,0.004549576435238123,0.0290200375020504,0.004933391697704792,0.03242950141429901,0.004992925561964512
15,イーヴァン・ボランド,{}はどこで生まれましたか？,ロンドン,ダブリン,0.0020341621711850166,0.0009799017570912838,0.0031636476051062346,0.0014841629890725017,0.004420963115990162,0.0018246497493237257,0.007451565936207771,0.0023280298337340355,0.013042693957686424,0.003936358727514744,0.01755525916814804,0.00523902103304863,0.019861210137605667,0.004026404581964016,0.020616818219423294,0.0032013733871281147,0.02121003344655037,0.0028157231863588095,0.022106390446424484,0.0031031565740704536
16,コム・ジェ・マル,「{}」は何語で書かれていますか？,日本語,フランス語,0.0004759339790325612,0.0009676985209807754,0.0006602301145903766,0.0012050457298755646,0.0009289087611250579,0.0015094851842150092,0.002048238879069686,0.002156575210392475,0.007546308450400829,0.0030944221653044224,0.027758469805121422,0.0014662648318335414,0.0333784744143486,0.0007413891144096851,0.039306335151195526,0.0006104726926423609,0.04635778069496155,0.0006605610251426697,0.055225759744644165,0.0007857052842155099
17,フアン・バウティスタ・デ・アンサ,{}が使用した言語は、スペイン人が使用する言語とは少し異なるのは何ですか？,韓国語,スペイン語,0.001559913158416748,0.001752416486851871,0.0016174651682376862,0.0018109710654243827,0.0016251433407887816,0.0018213111907243729,0.0016429438255727291,0.0018357288790866733,0.001673191087320447,0.0018615382723510265,0.0017188366036862135,0.0019052661955356598,0.0018000401323661208,0.001986748306080699,0.001946436008438468,0.00213543395511806,0.002193286083638668,0.0023879529908299446,0.0025363825261592865,0.0025782601442188025
18,アルフレッド・ヒッチコック・プレゼンツ,{}はどのネットワークでデビューしましたか？,CBS,NBC,0.0012429332127794623,0.0012251412263140082,0.0023268123622983694,0.0016328117344528437,0.00303605105727911,0.001655608182772994,0.0036995820701122284,0.0018606818048283458,0.005183666944503784,0.0017712023109197617,0.008596254512667656,0.0020000177901238203,0.01343373954296112,0.0027308412827551365,0.016073055565357208,0.003093298524618149,0.017535297200083733,0.0036571656819432974,0.018239228054881096,0.004100925754755735
19,タイゼン,コンソーシアムの一部であるどの会社が{}を開発していますか？,SKテレコム,サムソン,0.0005555304232984781,0.0006474723340943456,0.001408562297001481,0.0007999755325727165,0.002108488231897354,0.0009256626944988966,0.003091540653258562,0.0012375448131933808,0.004373456351459026,0.001351010869257152,0.006263792514801025,0.0012433512602001429,0.009194741025567055,0.0011079998221248388,0.013679495081305504,0.0009556791628710926,0.01989971473813057,0.0009390292689204216,0.026654694229364395,0.000940635334700346
